Transaction	Supplier	Type	Date	PLU	Paid	"Curve /
Bleap"	Value
Hiper Eiras - PLN	Plutus	Plutus - Cashback	29/01/2025	0.6442	24.05€	-	2.58€
Modern Mystery - PLN	Plutus	Plutus - Cashback	29/01/2025	0.0587	2.25€	-	0.23€
Areas Portugal - PLN	Plutus	Plutus - Cashback	28/01/2025	0.0992	3.90€	-	0.40€
EXKI ORY1B ZSD ORL - PLN	Plutus	Plutus - Cashback	28/01/2025	0.1068	4.20€	-	0.43€
SC Kiosque Clic - PLN	Plutus	Plutus - Cashback	28/01/2025	0.1271	5.00€	-	0.51€
SC Kiosque Clic - PLN	Plutus	Plutus - Cashback	28/01/2025	0.0636	2.50€	-	0.25€
Lapere Servon FRA - PLN	Plutus	Plutus - Cashback	28/01/2025	0.4286	17.00€	-	1.71€
LIME Ride - PLN	Plutus	Plutus - Cashback	28/01/2025	0.1805	7.16€	-	0.72€
Le Sanseveria Paris - PLN	Plutus	Plutus - Cashback	28/01/2025	1.0840	43.00€	-	4.34€
Bistro Saint do Pa - PLN	Plutus	Plutus - Cashback	28/01/2025	4.8580	192.70€	-	19.43€
Soares Joao Paris - PLN	Plutus	Plutus - Cashback	28/01/2025	0.4916	19.50€	-	1.97€
Cafe Des Arts Paris - PLN	Plutus	Plutus - Cashback	28/01/2025	0.7311	29.00€	-	2.92€
BAGGA - PLN	Plutus	Plutus - Cashback	28/01/2025	0.2644	10.40€	-	1.06€
Booking - PLN	Plutus	Plutus - Cashback	28/01/2025	45.5624	1,792.12€	-	182.25€
LIDL - PLN	Plutus	Plutus - Cashback	28/01/2025	0.2738	10.77€	-	1.10€
Pingo Doce - PLN	Plutus	Plutus - Cashback	28/01/2025	0.3549	13.96€	-	1.42€
Pingo Doce - PLN	Plutus	Plutus - Cashback	28/01/2025	0.3295	12.96€	-	1.32€
WORTEN - PLN	Plutus	Plutus - Cashback	28/01/2025	0.2286	8.99€	-	0.91€
Mercadona - PLN	Plutus	Plutus - Cashback	28/01/2025	0.4220	16.60€	-	1.69€
Pingo Doce - PLN	Plutus	Plutus - Cashback	28/01/2025	0.0503	1.98€	-	0.20€
Pingo Doce - PLN	Plutus	Plutus - Cashback	28/01/2025	0.4312	16.96€	-	1.72€
Continente - PLN	Plutus	Plutus - Cashback	28/01/2025	0.6852	26.95€	-	2.74€
Pingo Doce - PLN	Plutus	Plutus - Cashback	28/01/2025	0.3931	15.46€	-	1.57€
Pingo Doce - PLN	Plutus	Plutus - Cashback	28/01/2025	0.1726	6.79€	-	0.69€
Pingo Doce - PLN	Plutus	Plutus - Cashback	28/01/2025	0.1078	4.24€	-	0.43€
Continente Modelo - PLN	Plutus	Plutus - Cashback	28/01/2025	0.0808	3.18€	-	0.32€
Monoprix - PLN	Plutus	Plutus - Cashback	28/01/2025	0.0098	0.39€	-	0.04€
Dominos Pizza - PLN	Plutus	Plutus - Cashback	28/01/2025	0.5497	21.62€	-	2.20€
Tomatino - PLN	Plutus	Plutus - Cashback	28/01/2025	0.2326	9.15€	-	0.93€
Wells - PLN	Plutus	Plutus - Cashback	28/01/2025	0.4828	18.99€	-	1.93€
H3 Alma - PLN	Plutus	Plutus - Cashback	28/01/2025	0.5186	20.40€	-	2.07€
Europcar - PLN	Plutus	Plutus - Cashback	28/01/2025	4.2066	165.46€	-	16.83€
PretAManger PARIS - PLN	Plutus	Plutus - Cashback	28/01/2025	0.0788	3.10€	-	0.32€
Continente - PLN	Plutus	Plutus - Cashback	28/01/2025	2.7254	107.20€	-	10.90€
Ticket Nanterre - PLN	Plutus	Plutus - Cashback	28/01/2025	0.1513	6.00€	-	0.61€
PODOCOIMBRA - PLN	Plutus	Plutus - Cashback	28/01/2025	1.0169	40.00€	-	4.07€
BAGGA - PLN	Plutus	Plutus - Cashback	28/01/2025	0.1551	6.10€	-	0.62€
Tymrest Restaurant - PLN	Plutus	Plutus - Cashback	26/01/2025	0.3947	15.00€	-	1.58€
Curve - Booking	Curve	Cashback	26/01/2025	-	-	£0.90	1.06€
Curve - Booking	Curve	Cashback	26/01/2025	-	-	£10.00	11.80€
Curve - Pingo Doce	Curve	Cashback	23/01/2025	-	-	£0.12	0.14€
Curve - LIDL	Curve	Cashback	18/01/2025	-	-	£0.09	0.11€
Curve - Pingo Doce	Curve	Cashback	17/01/2025	-	-	£0.11	0.13€
Curve - Pingo Doce	Curve	Cashback	17/01/2025	-	-	£0.02	0.02€
Curve - Pingo Doce	Curve	Cashback	15/01/2025	-	-	£0.14	0.17€
Plutus Perk (Continente)	Plutus	Plutus - Cashback	12/01/2025	7.9365	10.00€	-	31.75€
Plutus Perk (Curve)	Plutus	Plutus - Cashback	11/01/2025	7.5682	9.99€	-	30.27€
Curve - Continente	Curve	Cashback	10/01/2025	-	-	£0.23	0.27€
Curve - Continente	Curve	Cashback	10/01/2025	-	-	£0.08	0.09€
Curve - Pingo Doce	Curve	Cashback	09/01/2025	-	-	£0.13	0.15€
Curve - Pingo Doce	Curve	Cashback	08/01/2025	-	-	£0.04	0.05€
Curve - Pingo Doce	Curve	Cashback	08/01/2025	-	-	£0.06	0.07€
Europcar	LetyShops	Cashback	08/01/2025	-	-	-	5.65€
Pingo Doce - PLN	Plutus	Plutus - Cashback	07/01/2025	0.1051	4.94€	-	0.42€
Plutus Perk (Pingo Doce)	Plutus	Plutus - Cashback	07/01/2025	7.0922	10.00€	-	28.37€
Plutus Perk (Amazon)	Plutus	Plutus - Cashback	07/01/2025	7.0922	10.00€	-	28.37€
Booking Cashback	Booking Wallet	Cashback	05/01/2025	-	-	-	4.85€
Curve - Pingo Doce	Curve	Cashback	05/01/2025	-	-	£0.12	0.14€
LetyShops	LetyShops	Cashback	03/01/2025	-	-	-	-0.13€
Curve - Continente	Curve	Cashback	03/01/2025	-	-	£0.03	0.04€
RATP - PLN	Plutus	Plutus - Cashback	01/01/2025	0.2013	10.00€	-	0.81€
RATP - PLN	Plutus	Plutus - Cashback	01/01/2025	0.2055	10.00€	-	0.82€
RATP - PLN	Plutus	Plutus - Cashback	01/01/2025	0.2000	10.00€	-	0.80€
RATP - PLN	Plutus	Plutus - Cashback	01/01/2025	0.0866	4.30€	-	0.35€
Nespresso Paris - PLN	Plutus	Plutus - Cashback	01/01/2025	0.0207	1.00€	-	0.08€
Nespresso Paris - PLN	Plutus	Plutus - Cashback	01/01/2025	0.0207	1.00€	-	0.08€
Service Navigo - PLN	Plutus	Plutus - Cashback	01/01/2025	0.3565	17.35€	-	1.43€
Ticketline - PLN	Plutus	Plutus - Cashback	01/01/2025	0.3088	15.03€	-	1.24€
Franprix - PLN	Plutus	Plutus - Cashback	01/01/2025	0.2404	11.70€	-	0.96€
Cafe Brasserie - PLN	Plutus	Plutus - Cashback	01/01/2025	0.1154	5.50€	-	0.46€
Service Navigo - PLN	Plutus	Plutus - Cashback	01/01/2025	0.0442	2.15€	-	0.18€
Service Navigo - PLN	Plutus	Plutus - Cashback	01/01/2025	0.0442	2.15€	-	0.18€
Fleche NDP Paris - PLN	Plutus	Plutus - Cashback	01/01/2025	0.3191	15.00€	-	1.28€
Joefab - PLN	Plutus	Plutus - Cashback	01/01/2025	0.0833	4.00€	-	0.33€
Nassim Souvenirs - PLN	Plutus	Plutus - Cashback	01/01/2025	0.2143	10.00€	-	0.86€
Monoprix - PLN	Plutus	Plutus - Cashback	01/01/2025	0.0663	3.18€	-	0.27€
Pret A Manger - PLN	Plutus	Cashback	31/12/2024	0.4038	19.65€	-	1.62€
Euro Disney - PLN	Plutus	Cashback	31/12/2024	0.3775	19.00€	-	1.51€
Euro Disney - PLN	Plutus	Cashback	31/12/2024	0.2466	12.00€	-	0.99€
McDonalds - PLN	Plutus	Cashback	31/12/2024	0.3947	20.00€	-	1.58€
Euro Disney - PLN	Plutus	Cashback	31/12/2024	0.2453	12.10€	-	0.98€
Euro Disney - PLN	Plutus	Cashback	30/12/2024	0.1530	7.60€	-	0.61€
RATP - PLN	Plutus	Cashback	30/12/2024	0.2110	10.55€	-	0.84€
RATP - PLN	Plutus	Cashback	30/12/2024	0.2010	10.05€	-	0.80€
RATP - PLN	Plutus	Cashback	30/12/2024	0.0866	4.30€	-	0.35€
Euro Disney - PLN	Plutus	Cashback	30/12/2024	0.6846	34.00€	-	2.74€
Disney - PLN	Plutus	Cashback	29/12/2024	0.6000	30.00€	-	2.40€
Franprix - PLN	Plutus	Cashback	29/12/2024	0.2646	13.14€	-	1.06€
Pingo Doce - PLN	Plutus	Cashback	29/12/2024	0.1044	5.22€	-	0.42€
Pingo Doce - PLN	Plutus	Cashback	29/12/2024	0.1141	5.78€	-	0.46€
Monisqui - PLN	Plutus	Cashback	28/12/2024	1.9931	98.99€	-	7.97€
Curve - Pingo Doce	Curve	Cashback	27/12/2024	-	-	£0.05	0.06€
Curve - Pingo Doce	Curve	Cashback	27/12/2024	-	-	£0.04	0.05€
MEO - PLN	Plutus	Cashback	26/12/2024	0.7883	40.99€	-	3.15€
Staples - PLN	Plutus	Cashback	26/12/2024	0.0401	2.02€	-	0.16€
Porto Editora - PLN	Plutus	Cashback	25/12/2024	0.4711	23.40€	-	1.88€
Barbearia São José - PLN	Plutus	Cashback	25/12/2024	0.3020	15.00€	-	1.21€
Curve - MEO	Curve	Cashback	24/12/2024	-	-	£0.34	0.40€
Uber - PLN	Plutus	Cashback	24/12/2024	0.0542	2.87€	-	0.22€
Pátio da Casqueira - PLN	Plutus	Cashback	23/12/2024	1.0435	56.00€	-	4.17€
Osteria 44 - PLN	Plutus	Cashback	23/12/2024	0.7434	39.15€	-	2.97€
Chico dos Filhos - PLN	Plutus	Cashback	21/12/2024	0.4630	25.00€	-	1.85€
Anda Seculo - PLN	Plutus	Cashback	20/12/2024	0.3439	20.29€	-	1.38€
Moinho Velho - PLN	Plutus	Cashback	20/12/2024	0.0305	1.80€	-	0.12€
Amazon - PLN	Plutus	Cashback	20/12/2024	2.5239	148.07€	-	10.10€
Pingo Doce - PLN	Plutus	Cashback	19/12/2024	0.1856	10.95€	-	0.74€
Leroy Merlin - PLN	Plutus	Cashback	18/12/2024	1.5079	93.99€	-	6.03€
Curve - Pingo Doce	Curve	Cashback	17/12/2024	-	-	£0.09	0.11€
Praxis - PLN	Plutus	Cashback	17/12/2024	0.4787	30.00€	-	1.91€
Santander	Santander	Cashback	15/12/2024	-	-	-	8.18€
Curve - Pingo Doce	Curve	Cashback	15/12/2024	-	-	£0.09	0.11€
Curve - Pingo Doce	Curve	Cashback	15/12/2024	-	-	£0.01	0.01€
Curve - Continente	Curve	Cashback	15/12/2024	-	-	£0.43	0.51€
Anda Seculo - PLN	Plutus	Cashback	16/12/2024	0.1267	8.15€	-	0.51€
Sabores Mondego - PLN	Plutus	Cashback	16/12/2024	0.1648	10.60€	-	0.66€
Continente - PLN	Plutus	Cashback	16/12/2024	0.7895	52.11€	-	3.16€
Pingo Doce - PLN	Plutus	Cashback	16/12/2024	0.0324	2.06€	-	0.130€
Plutus Perk (Pingo Doce)	Plutus	Cashback	16/12/2024	4.5026	8.60€	-	18.01€
Plutus Perk (Pingo Doce)	Plutus	Cashback	16/12/2024	0.7254	1.40€	-	2.90€
Farmacia Barros - PLN	Plutus	Cashback	15/12/2024	0.2092	13.95€	-	0.837€
Tomatino - PLN	Plutus	Cashback	15/12/2024	0.2606	16.85€	-	1.042€
BIRD - PLN	Plutus	Cashback	14/12/2024	0.0216	1.44€	-	0.086€
VIVA PORTO - PLN	Plutus	Cashback	14/12/2024	0.6300	42.00€	-	2.520€
Restaurante O Diplomata - PLN	Plutus	Cashback	14/12/2024	0.5460	36.40€	-	2.184€
MIIO Electric - PLN	Plutus	Cashback	14/12/2024	0.3000	20.00€	-	1.200€
MIIO Electric - PLN	Plutus	Cashback	14/12/2024	0.4200	28.00€	-	1.680€
MIIO Electric - PLN	Plutus	Cashback	14/12/2024	0.3000	20.00€	-	1.200€
Auchan - PLN	Plutus	Cashback	14/12/2024	0.0338	2.25€	-	0.135€
Pingo Doce Mealhada - PLN	Plutus	Cashback	14/12/2024	0.0040	0.27€	-	0.02€
Uber - PLN	Plutus	Cashback	14/12/2024	0.0409	2.71€	-	0.16€
Hoteis Bom Jesus - PLN	Plutus	Cashback	14/12/2024	0.0226	1.50€	-	0.09€
Sabor Sorrateiro - PLN	Plutus	Cashback	14/12/2024	0.0181	1.20€	-	0.07€
Ciccoria Avenida - PLN	Plutus	Cashback	14/12/2024	0.1711	11.35€	-	0.68€
Freedom Serviced - PLN	Plutus	Cashback	14/12/2024	0.1194	8.00€	-	0.48€
Uber - PLN	Plutus	Cashback	14/12/2024	0.0487	3.26€	-	0.19€
Auchan - PLN	Plutus	Cashback	14/12/2024	0.0009	0.06€	-	0.004€
Parfois - PLN	Plutus	Cashback	14/12/2024	0.2713	18.09€	-	1.09€
Continente - PLN	Plutus	Cashback	14/12/2024	3.2472	216.48€	-	12.99€
Plutus Perk (Continente)	Plutus	Cashback	14/12/2024	4.2500	8.50€	-	17.00€
CP - PLN	Plutus	Cashback	14/12/2024	0.7010	46.50€	-	2.80€
Brisa - PLN	Plutus	Cashback	14/12/2024	0.0407	2.70€	-	0.16€
CP - PLN	Plutus	Cashback	14/12/2024	0.2337	15.50€	-	0.93€
CP - PLN	Plutus	Cashback	14/12/2024	0.3211	21.30€	-	1.28€
Uber - PLN	Plutus	Cashback	14/12/2024	0.0660	4.38€	-	0.26€
A1 Vil - PLN	Plutus	Cashback	14/12/2024	0.0121	0.80€	-	0.05€
Metro Lisboa - PLN	Plutus	Cashback	14/12/2024	0.0269	1.80€	-	0.11€
CP - PLN	Plutus	Cashback	14/12/2024	0.6975	46.50€	-	2.79€
Hospital da Luz - PLN	Plutus	Cashback	14/12/2024	0.0525	3.50€	-	0.21€
CHRONOPOST DPD - PLN	Plutus	Cashback	14/12/2024	0.3211	21.41€	-	1.28€
MEO - PLN	Plutus	Cashback	14/12/2024	0.4048	26.99€	-	1.62€
Porto Editora - PLN	Plutus	Cashback	14/12/2024	0.0627	4.18€	-	0.25€
Plutus Perk (Continente)	Plutus	Cashback	14/12/2024	0.7463	1.50€	-	2.99€
As Tibias - PLN	Plutus	Cashback	14/12/2024	0.0256	1.70€	-	0.10€
As Tibias - PLN	Plutus	Cashback	14/12/2024	0.0256	1.70€	-	0.10€
TEMU - PLN	Plutus	Cashback	14/12/2024	0.2475	16.42€	-	0.99€
Plutus Perk (Curve)	Plutus	Cashback	11/12/2024	4.3624	9.99€	-	17.45€
Curve - MEO	Curve	Cashback	09/12/2024	-	-	£1.87	2.21€
Uber - PLN	Plutus	Cashback	05/12/2024	0.0785	5.94€	-	0.31€
Plutus Perk (Uber)	Plutus	Cashback	05/12/2024	3.2291	7.33€	-	12.92€
Plutus Perk (Pingo Doce) Bonus	Plutus	Cashback	03/12/2024	4.8000	10.00€	-	19.20€
Curve - MEO	Curve	Cashback	02/12/2024	-	-	£0.22	0.26€
Curve - Pingo Doce	Curve	Cashback	02/12/2024	-	-	£0.08	0.09€
Pingo Doce Mealhada - PLN	Plutus	Cashback	02/12/2024	0.1412	9.60€	-	0.56€
Plutus Perk (Uber)	Plutus	Cashback	01/12/2024	1.3153	2.67€	-	5.26€
Pepe Jeans - PLN	Plutus	Cashback	01/12/2024	0.9659	66.00€	-	3.86€
Anda Seculo - PLN	Plutus	Cashback	29/11/2024	0.0399	2.70€	-	0.16€
Farmacia Barros - PLN	Plutus	Cashback	29/11/2024	0.2782	18.55€	-	1.11€
DPD - PLN	Plutus	Cashback	29/11/2024	0.3501	23.69€	-	1.40€
Barbearia São José - PLN	Plutus	Cashback	29/11/2024	0.2090	14.00€	-	0.84€
CP - PLN	Plutus	Cashback	29/11/2024	0.1940	13.00€	-	0.78€
Leroy Merlin - PLN	Plutus	Cashback	29/11/2024	0.0018	0.12€	-	0.01€
Anda Seculo - PLN	Plutus	Cashback	29/11/2024	0.0340	2.30€	-	0.14€
Temu	LetyShops	Cashback	28/11/2024	-	-	-	2.33€
Pad Port Expo - PLN	Plutus	Cashback	28/11/2024	0.0466	3.15€	-	0.19€
Leroy Merlin - PLN	Plutus	Cashback	28/11/2024	0.1830	12.75€	-	0.73€
Blending Secrets - PLN	Plutus	Cashback	28/11/2024	0.0933	6.50€	-	0.37€
Metro Lisboa - PLN	Plutus	Cashback	28/11/2024	0.0255	1.80€	-	0.10€
Bolt - PLN	Plutus	Cashback	28/11/2024	0.0559	3.95€	-	0.22€
Metro Lisboa - PLN	Plutus	Cashback	28/11/2024	0.0255	1.80€	-	0.10€
Bolt - PLN	Plutus	Cashback	28/11/2024	0.0600	4.24€	-	0.24€
Metro Lisboa - PLN	Plutus	Cashback	28/11/2024	0.0255	1.80€	-	0.10€
Staples - PLN	Plutus	Cashback	28/11/2024	0.0018	0.13€	-	0.01€
AliExpress - PLN	Plutus	Cashback	28/11/2024	0.0515	3.64€	-	0.21€
Choupana Caffe - PLN	Plutus	Cashback	28/11/2024	0.0138	0.95€	-	0.06€
LXCOOKS - PLN	Plutus	Cashback	28/11/2024	0.1537	10.50€	-	0.61€
AUCHAN - PLN	Plutus	Cashback	28/11/2024	0.0017	0.12€	-	0.01€
Esdemarca.com - PLN	Plutus	Cashback	27/11/2024	0.9101	60.98€	-	3.64€
Dominos - PLN	Plutus	Cashback	27/11/2024	0.3285	21.90€	-	1.31€
FNAC - PLN	Plutus	Cashback	27/11/2024	0.0275	1.90€	-	0.11€
Anda Seculo - PLN	Plutus	Cashback	26/11/2024	0.1401	8.50€	-	0.56€
H3 - PLN	Plutus	Cashback	26/11/2024	0.3140	19.05€	-	1.26€
Springfield - PLN	Plutus	Cashback	26/11/2024	1.1228	26.00€	-	4.49€
MIIO Electric - PLN	Plutus	Cashback	25/11/2024	0.3279	20.00€	-	1.31€
LIDL - PLN	Plutus	Cashback	25/11/2024	0.0825	4.95€	-	0.33€
Plutus Perk (LIDL)	Plutus	Cashback	25/11/2024	5.5556	10.00€	-	22.22€
MIIO Electric - PLN	Plutus	Cashback	24/11/2024	0.8671	50.00€	-	3.47€
Ticketline - PLN	Plutus	Cashback	24/11/2024	0.5586	32.21€	-	2.23€
Rejuvemed - PLN	Plutus	Cashback	24/11/2024	0.4682	27.00€	-	1.87€
Continente - PLN	Plutus	Cashback	24/11/2024	0.1744	10.00€	-	0.70€
Tradeinn - PLN	Plutus	Cashback	24/11/2024	0.0000	74.98€	-	0.00€
IPBR Farmacias - PLN	Plutus	Cashback	23/11/2024	0.3065	20.73€	-	1.23€
Amazon - PLN	Plutus	Cashback	23/11/2024	0.3863	16.45€	-	1.55€
Dominos Pizza - PLN	Plutus	Cashback	23/11/2024	0.4515	24.23€	-	1.81€
Hospital da Luz - PLN	Plutus	Cashback	23/11/2024	0.4731	25.39€	-	1.89€
Hospital da Luz - PLN	Plutus	Cashback	23/11/2024	1.2112	65.00€	-	4.84€
Porto Arts Bar - PLN	Plutus	Cashback	23/11/2024	0.8516	45.70€	-	3.41€
Rest Canil Lisboa - PLN	Plutus	Cashback	23/11/2024	0.2888	15.50€	-	1.16€
MEO - PLN	Plutus	Cashback	23/11/2024	1.0992	58.99€	-	4.40€
Continente - PLN	Plutus	Cashback	23/11/2024	0.0557	2.99€	-	0.22€
Plutus Perk (Continente)	Plutus	Cashback	23/11/2024	6.2112	10.00€	-	24.84€
Curve - LIDL	Curve	Cashback	23/11/2024	-	-	£0.12	0.14€
Curve - Continente	Curve	Cashback	22/11/2024	-	-	£0.08	0.09€
Easy Jet - PLN	Plutus	Cashback	21/11/2024	6.2041	355.70€	-	24.82€
Paris Rooms - PLN	Plutus	Cashback	21/11/2024	12.2175	696.40€	-	48.87€
MEO - PLN	Plutus	Cashback	21/11/2024	0.7149	40.99€	-	2.86€
BOL - PLN	Plutus	Cashback	21/11/2024	0.8241	47.25€	-	3.30€
Booking - PLN	Plutus	Cashback	21/11/2024	1.4128	81.00€	-	5.65€
Booking - PLN	Plutus	Cashback	21/11/2024	1.6047	92.00€	-	6.42€
EuroDisney - PLN	Plutus	Cashback	21/11/2024	9.3488	536.00€	-	37.40€
Booking - PLN	Plutus	Cashback	21/11/2024	0.9755	55.93€	-	3.90€
Santander	Santander	Cashback	15/11/2024	-	-	-	1.25€
Plutus Perk (Curve)	Plutus	Cashback	11/11/2024	6.5294	9.99€	-	26.12€
Curve - Continente	Curve	Cashback	11/11/2024	-	-	£0.01	0.01€
Temu	LetyShops	Cashback	07/11/2024	-	-	-	1.01€
Plutus Bonus	Plutus	Cashback	06/11/2024	7.2000	0.00€	-	28.80€
AliExpress	LetyShops	Cashback	05/11/2024	-	-	-	2.20€
miio	Vale	Cashback	04/11/2024	-	-	-	20€
Curve - MEO	Curve	Cashback	29/10/2024	-	-	£0.49	0.58€
Plutus - Piti	Plutus - Piti	Cashback	29/10/2024	23.1200	-	-	92.48€
Plutus Perk (Continente)	Plutus	Cashback	27/10/2024	5.5556	10.00€	-	22.22€
Curve - Continente	Curve	Cashback	25/10/2024	-	-	£0.08	0.09€
EXS Seguros	Vale	Cashback	25/10/2024	-	-	-	50€
SHEIN	LetyShops	Cashback	15/10/2024	-	-	-	3.28€
Santander	Santander	Cashback	15/10/2024	-	-	-	1.22€
AliExpress	LetyShops	Cashback	15/10/2024	-	-	-	0.28€
Notino	LetyShops	Cashback	14/10/2024	-	-	-	0.07€
SHEIN - PLN	Plutus	Cashback	12/10/2024	0.1698	10.53€	-	0.68€
